id,cuisine,ingredients
3535,jamaican,"['bread crumbs', 'unsalted butter', 'onion powder', 'curry', 'low sodium beef broth', 'pickapeppa sauce', 'curry powder', 'bay leaves', 'garlic', 'cayenne pepper', 'cold water', 'pepper', 'large eggs', 'extra-virgin olive oil', 'yellow onion', 'allspice', 'white vinegar', 'kosher salt', 'fresh thyme', 'worcestershire sauce', 'all-purpose flour', 'ground beef']"
47028,japanese,"['melted butter', 'matcha green tea powder', 'white sugar', 'milk', 'all-purpose flour', 'eggs', 'salt', 'baking powder', 'chopped walnuts']"
38112,indian,"['coarse salt', 'fenugreek', 'urad dal', 'potatoes', 'white rice', 'vegetable oil']"
5206,irish,"['cooking spray', 'salt', 'black pepper', 'yukon gold potatoes', 'low-fat sour cream', 'leeks', 'olive oil', '1% low-fat milk']"
38233,thai,"['sugar', 'chicken thighs', 'cooking oil', 'fish sauce', 'garlic', 'black pepper']"
39267,thai,"['lemongrass', 'large garlic cloves', 'rice', 'unsweetened coconut milk', 'fresh ginger', 'peanut sauce', 'spareribs', 'sesame oil', 'tamari soy sauce', 'golden brown sugar', 'dry sherry', 'boiling water']"
11913,indian,"['chicken legs', 'chile pepper', 'ghee', 'tomato paste', 'fresh ginger root', 'garlic', 'chopped cilantro fresh', 'water', 'vegetable oil', 'onions', 'tomatoes', 'garam masala', 'cumin seed', 'ground turmeric']"
20591,jamaican,"['stock', 'curry powder', 'cracked black pepper', 'minced beef', 'onions', 'plain flour', 'bread crumbs', 'butter', 'garlic', 'celery', 'cold water', 'tumeric', 'dried thyme', 'ginger', 'oil', 'tomatoes', 'water', 'paprika', 'salt', 'chillies']"
43928,thai,"['extra firm tofu', 'coconut milk', 'fresh basil', 'red curry paste', 'eggplant', 'red bell pepper', 'vegetable oil', 'onions']"
8530,korean,"['jasmine rice', 'garlic', 'scallions', 'sugar', 'shiitake', 'Gochujang base', 'beansprouts', 'top round steak', 'sesame seeds', 'rice vinegar', 'carrots', 'soy sauce', 'sesame oil', 'Taiwanese bok choy']"
275,french,"['vanilla', 'milk', 'large egg yolks', 'sugar', 'corn starch']"
43769,french,"['orange juice concentrate', 'pumpkin purée', 'marshmallow creme', 'toasted pecans', 'maple syrup', 'ground cinnamon', 'gingersnap', 'ground nutmeg', 'cream cheese']"
11886,spanish,"['large eggs', 'serrano ham', 'manchego cheese', 'butter', 'dijon mustard', 'sourdough', 'membrillo']"
45839,indian,"['burger buns', 'fresh cilantro', 'chili powder', 'garlic cloves', 'panko breadcrumbs', 'chickpea flour', 'pepper', 'Sriracha', 'chickpeas', 'carrots', 'ground flaxseed', 'soy sauce', 'olive oil', 'salt', 'lemon juice', 'greens', 'spinach', 'curry powder', 'tahini', 'scallions', 'onions', 'ground cumin']"
699,moroccan,"['ground cloves', 'whole nutmegs', 'ground ginger', 'ground coriander', 'ground cinnamon', 'ground cardamom', 'ground black pepper', 'ground cumin']"
16582,moroccan,"['tumeric', 'olive oil', 'lemon', 'saffron', 'tomato paste', 'pepper', 'flour', 'chickpeas', 'chicken stock', 'warm water', 'fresh ginger', 'salt', 'tomatoes', 'fresh cilantro', 'shallots', 'fresh parsley']"
9058,moroccan,"['ground pepper', 'paprika', 'ground cardamom', 'chopped cilantro fresh', 'preserved lemon', 'harissa', 'salt', 'couscous', 'tomato paste', 'cayenne', 'garlic', 'fat skimmed chicken broth', 'ground turmeric', 'pitted kalamata olives', 'diced tomatoes', 'fat', 'onions']"
4715,vietnamese,"['sweetened condensed milk', 'ice', 'espresso']"
29061,japanese,"['top round steak', 'vegetable oil', 'shiitake', 'soy sauce', 'fresh asparagus', 'green onions']"
22825,cajun_creole,"['pecans', 'golden brown sugar', 'crumbled blue cheese', 'garlic cloves', 'chuck', 'hamburger buns', 'hot pepper sauce', 'creole seasoning', 'onions', 'mayonaise', 'ground black pepper', 'salt', 'okra pods', 'andouille sausage', 'olive oil', 'watercress', 'fresh lemon juice']"
6886,french,"['Madeira', 'foie gras', 'demi-glace', 'sherry vinegar', 'whipping cream', 'white bread', 'Fuyu persimmons', 'salt', 'egg bread', 'watercress']"
14874,indian,"['fenugreek leaves', 'olive oil', 'garlic', 'black mustard seeds', 'ground cumin', 'amchur', 'lime wedges', 'scallions', 'coriander', 'sugar', 'fingerling potatoes', 'green chilies', 'chopped cilantro', 'tumeric', 'fresh ginger root', 'salt', 'ramps']"
43399,indian,"['black peppercorns', 'cinnamon sticks', 'cardamom pods', 'cumin seed', 'coriander seeds']"
33989,indian,"['baby spinach leaves', 'naan', 'unsalted butter', 'chopped garlic', 'water', 'large shrimp', 'tomatoes', 'salt']"
17004,korean,"['water', 'barley']"
4969,spanish,"['cooked ham', 'red bell pepper', 'seasoning', 'potatoes', 'olive oil', 'onions', 'eggs', 'bacon']"
34471,greek,"['ground pork', 'finely chopped fresh parsley', 'onions', 'salt', 'vinegar', 'caul fat']"
46905,indian,"['olive oil', 'sea salt', 'coconut milk', 'water', 'garam masala', 'ground coriander', 'basmati rice', 'cauliflower', 'fresh ginger', 'green chilies', 'onions', 'fresh cilantro', 'potatoes', 'scallions', 'cumin']"
8997,japanese,"['prawns', 'rice flour', 'seasoning salt', 'salt', 'vegetable oil', 'club soda', 'garlic powder', 'cayenne pepper']"
4635,greek,"['minced garlic', 'dried oregano', 'red wine vinegar', 'olive oil', 'boneless chop pork', 'lemon juice']"
7782,korean,"['cooking spray', 'garlic cloves', 'sliced green onions', 'chile paste', 'salt', 'fresh lime juice', 'sugar', 'flank steak', 'corn tortillas', 'lower sodium soy sauce', 'dark sesame oil', 'cabbage']"
8031,indian,"['minced garlic', 'raisins', 'onions', 'olive oil', 'pearl barley', 'curry powder', 'salt', 'slivered almonds', 'ground black pepper', 'flat leaf parsley']"
31027,irish,"['vegetable oil cooking spray', 'golden raisins', 'salt', 'margarine', 'eggs', 'mace', 'brewed tea', 'all-purpose flour', 'candied orange peel', 'ground nutmeg', 'raisins', 'grated lemon zest', 'ground cinnamon', 'dried currants', 'baking powder', 'rum extract', 'dark brown sugar']"
47095,korean,"['sugar', 'water', 'noodles', 'pork', 'corn starch', 'baby bok choy', 'black bean sauce', 'red potato', 'kosher salt', 'onions']"
4574,chinese,"['chinese rice wine', 'shiitake', 'sesame oil', 'oil', 'soy sauce', 'egg roll wrappers', 'garlic', 'corn starch', 'sugar', 'ground black pepper', 'ground pork', 'carrots', 'fresh ginger', 'cooking oil', 'salt', 'cabbage']"
44812,chinese,"['water', 'salt', 'garlic cloves', 'cold water', 'orange', 'sauce', 'onions', 'soy sauce', 'star anise', 'chinese five-spice powder', 'brown sugar', 'fresh ginger', 'duck']"
27858,moroccan,"['tomato paste', 'unsalted butter', 'dried mint flakes', 'purple onion', 'ground cumin', 'olive oil', 'grated parmesan cheese', 'diced tomatoes', 'penne rigate', 'feta cheese', 'whole milk', 'ras el hanout', 'ground lamb', 'ground cinnamon', 'large eggs', 'large garlic cloves', 'all-purpose flour']"
18624,irish,"['crumbled blue cheese', 'salt', 'large egg whites', 'vegetable oil', 'sugar', 'cooking spray', 'all-purpose flour', 'large eggs', '2% reduced-fat milk']"
9406,chinese,"['sugar', 'napa cabbage leaves', 'garlic', 'chicken leg quarters', 'soy sauce', 'butter', 'rice vinegar', 'red chili peppers', 'sesame oil', 'salt', 'cucumber', 'pepper', 'ginger', 'long-grain rice']"
35132,irish,"['crusty bread', 'salt', 'baby potatoes', 'olive oil', 'fresh parsley', 'smoked streaky bacon', 'sausages', 'chicken stock', 'ground black pepper', 'onions']"
6043,jamaican,"['tomato sauce', 'ground black pepper', 'garlic', 'scallions', 'chipotles in adobo', 'avocado', 'dried thyme', 'instant white rice', 'cilantro leaves', 'coconut milk', 'water', 'red beans', 'chopped celery', 'skinless chicken thighs', 'onions', 'lime zest', 'lime juice', 'lime wedges', 'salt', 'carrots']"
25751,japanese,"['pepper', 'panko breadcrumbs', 'plain flour', 'oil', 'salt', 'eggs', 'steak']"
793,spanish,"['minced garlic', 'chorizo spanish', 'red bell pepper', 'olive oil', 'pineapple juice', 'lime', 'cilantro leaves', 'large shrimp', 'dark rum', 'fresh lemon juice']"
34367,chinese,"['water', 'daikon', 'sugar', 'pork ribs', 'oil', 'soy sauce', 'shallots', 'goji berries', 'chinese rice wine', 'oysters', 'salt']"
7473,british,"['demerara sugar', 'egg whites', 'fruit', 'butter', 'dried currants', 'frozen pastry puff sheets', 'mixed spice', 'white sugar']"
7532,indian,"['parsnips', 'garam masala', 'chili oil', 'olive oil', 'brown mustard seeds', 'chopped cilantro fresh', 'sugar', 'cooking spray', 'salt', 'coriander seeds', 'yukon gold potatoes', 'ground cumin']"
5924,thai,"['Sriracha', 'unsalted cashews', 'thai green curry paste', 'light soy sauce', 'kecap manis', 'garlic', 'frozen broad beans', 'basil leaves', 'yellow onion', 'chili flakes', 'cooking oil', 'chicken tenderloin']"
20665,spanish,"['ground cinnamon', 'cornflour', 'milk', 'egg yolks', 'sugar', 'cinnamon sticks']"
39471,french,"['grated parmesan cheese', 'asparagus', 'bacon slices', 'ground black pepper', 'green onions', 'large eggs', 'salt']"
27869,indian,"['quinoa', 'nonfat milk', 'granny smith apples', 'paprika', 'chicken broth', 'chicken breasts', 'chopped onion', 'curry powder', 'chopped celery']"
44776,british,"['milk', 'salt', 'flour', 'eggs', 'lard']"
17771,spanish,"['tomatoes', 'golden raisins', 'salt', 'olive oil', 'yellow bell pepper', 'olives', 'ground pepper', 'white wine vinegar', 'green bell pepper', 'green onions', 'fresh basil leaves']"
27165,korean,"['fish sauce', 'chicken broth', 'sesame oil', 'green onions', 'eggs']"
11190,indian,"['lime zest', 'sweet potatoes', 'purple onion', 'boiling water', 'spinach leaves', 'ginger', 'low-fat natural yogurt', 'red lentils', 'vegetable stock', 'carrots', 'basmati rice', 'lime', 'Flora Cuisine', 'curry paste']"
9069,french,"['fennel seeds', 'kalamata', 'capers', 'dried oregano', 'great northern beans', 'salt', 'red wine vinegar']"
46975,cajun_creole,"['kosher salt', 'kielbasa', 'red bell pepper', 'celery ribs', 'large garlic cloves', 'long-grain rice', 'fresh parsley', 'olive oil', 'cayenne pepper', 'medium shrimp', 'chicken broth', 'diced tomatoes', 'ham', 'onions']"
4892,indian,"['moong dal', 'cilantro leaves', 'onions', 'tomatoes', 'capsicum', 'lemon juice', 'green mango', 'oil', 'garlic paste', 'salt', 'carrots']"
21467,chinese,"['fresh ginger', 'garlic', 'low sodium soy sauce', 'mirin', 'toasted sesame oil', 'tofu', 'short-grain rice', 'dried shiitake mushrooms', 'gari', 'green onions']"
5980,greek,"['orange', 'anise', 'cinnamon sticks', 'unflavored gelatin', 'zinfandel', 'orange blossom honey', 'sugar', 'lemon', 'calimyrna figs', 'clove', 'honey', 'whipping cream', 'plain whole-milk yogurt']"
41961,japanese,"['ground pepper', 'flour', 'garlic', 'onions', 'fresh ginger', 'mirin', 'daikon', 'corn starch', 'olive oil', 'reduced sodium soy sauce', 'beef stock', 'salt', 'sliced green onions', 'shiitake', 'chuck roast', 'star anise', 'chopped cilantro']"
27008,cajun_creole,"['Corn Flakes Cereal', 'yellow corn meal', 'coleslaw', 'catfish fillets', 'creole seasoning', 'cooking spray']"
34248,korean,"['soy sauce', 'chili paste', 'oil', 'brown sugar', 'honey', 'red pepper flakes', 'kiwi', 'pepper', 'asian pear', 'garlic cloves', 'pork', 'fresh ginger', 'salt']"
38502,indian,"['chili powder', 'coriander', 'garam masala', 'salt', 'tumeric', 'vegetable oil', 'cumin', 'prawns', 'sauce']"
2472,korean,"['wakame', 'extra-lean ground beef', 'minced garlic', 'salt', 'water', 'soy sauce', 'sesame oil']"
45193,chinese,"['scallion greens', 'Sriracha', 'carrots', 'soy sauce', 'wonton wrappers', 'toasted sesame oil', 'sugar', 'peeled fresh ginger', 'nonstick spray', 'white vinegar', 'large egg whites', 'scallions', 'large shrimp']"
7501,french,"['tomatoes', 'olive oil', 'chopped fresh thyme', 'salt', 'chicken bones', 'green bell pepper, slice', 'black olives', 'lemon juice', 'eggs', 'ground black pepper', 'garlic', 'anchovy fillets', 'dried thyme', 'lettuce leaves', 'purple onion', 'crusty rolls']"
34930,chinese,"['coconut oil', 'ground red pepper', 'scallions', 'curry powder', 'salt', 'coconut milk', 'pepper', 'sesame oil', 'carrots', 'ground ginger', 'almond flour', 'coconut aminos', 'ground beef']"
42967,spanish,"['olive oil', 'white rice', 'onions', 'chicken broth', 'crushed garlic', 'all-purpose flour', 'saffron', 'pepper', 'green peas', 'shrimp', 'chorizo sausage', 'clams', 'chopped tomatoes', 'salt', 'boneless skinless chicken breast halves']"
14080,chinese,"['chicken stock', 'minced garlic', 'seasoned rice wine vinegar', 'snow peas', 'soy sauce', 'vegetable oil', 'garlic cloves', 'sugar', 'fresh ginger root', 'rice vinegar', 'large shrimp', 'white pepper', 'garlic', 'corn starch']"
45352,spanish,"['olive oil', 'paprika', 'chopped onion', 'sugar', 'hard-boiled egg', 'bacon slices', 'spinach leaves', 'artichoke hearts', 'dry mustard', 'black pepper', 'red wine vinegar', 'salt']"
46205,japanese,"['water', 'chili powder', 'oil', 'stuffing', 'salt', 'ghee', 'coriander powder', 'maida flour', 'ground cardamom', 'sugar', 'baking powder', 'cumin seed', 'frozen peas']"
40064,french,"['pepper', 'grated Gruyère cheese', 'heavy cream', 'salt', 'potatoes']"
9010,japanese,"['fresh ginger', 'vegetable broth', 'sake', 'green onions', 'carrots', 'udon', 'red miso', 'silken tofu', 'button mushrooms']"
45605,filipino,"['sesame oil', 'cucumber', 'sugar', 'purple onion', 'fish sauce', 'thai chile', 'peppercorns', 'vinegar', 'salt']"
3641,chinese,"['soy sauce', 'egg whites', 'red wine vinegar', 'peanut oil', 'chicken stock', 'peanuts', 'chicken breasts', 'chili paste with garlic', 'fresh ginger', 'green onions', 'red pepper flakes', 'corn starch', 'sugar', 'fresh veget', 'sesame oil', 'rice vinegar']"
9112,indian,"['rose petals', 'almonds', 'rice', 'sugar', 'whole milk', 'pistachios', 'saffron']"
14970,korean,"['soy sauce', 'ginger', 'canola oil', 'flour', 'rice vinegar', 'honey', 'garlic', 'chicken wings', 'sesame oil', 'corn starch']"
41833,japanese,"['miso paste', 'water', 'seaweed', 'tofu', 'green onions', 'dashi']"
18031,greek,"['fresh dill', 'yoghurt', 'salt', 'myzithra', 'large eggs', 'cheese', 'feta cheese', 'phyllo', 'kefalotyri', 'ground black pepper', 'extra-virgin olive oil', 'onions']"
29801,chinese,"['Philadelphia Cream Cheese', 'powdered sugar', 'oil', 'crab meat', 'salt', 'wonton wrappers']"
24351,british,"['savoy cabbage', 'salt', 'unsalted butter', 'baking potatoes', 'black pepper']"
8480,japanese,"['sake', 'sesame oil', 'boneless chicken thighs', 'peanut oil', 'soy sauce', 'vegetable oil', 'potato starch', 'fresh ginger']"
37188,irish,"['steel-cut oats', 'salt', 'ground cinnamon', 'water', 'hazelnuts', 'hazelnut oil', 'brown sugar', 'sweet cherries']"
24338,greek,"['olive oil', 'salt', 'hamburger buns', 'paprika', 'chopped fresh mint', 'ground cinnamon', 'balsamic vinegar', 'feta cheese crumbles', 'baby spinach leaves', 'purple onion', 'ground lamb']"
3457,cajun_creole,"['chopped celery', 'fire roasted diced tomatoes', 'andouille sausage', 'sweet pepper', 'red kidnei beans, rins and drain']"
1355,japanese,"['gari', 'rice vinegar', 'wasabi paste', 'black sesame seeds', 'scallions', 'Japanese soy sauce', 'fresh salmon', 'sugar', 'ginger', 'garlic cloves']"
15990,indian,"['strong white bread flour', 'salted butter', 'sunflower oil', 'warm water', 'yoghurt', 'kalonji', 'sugar', 'instant yeast', 'garlic', 'fresh coriander', 'sea salt']"
27615,chinese,"['water', 'chicken breasts', 'oyster sauce', 'soy sauce', 'egg whites', 'garlic', 'cooked white rice', 'kosher salt', 'mixed mushrooms', 'sauce', 'wood ear mushrooms', 'chinese rice wine', 'vegetables', 'sesame oil', 'corn starch']"
26061,japanese,"['hoisin sauce', 'corn starch', 'green onions', 'extra firm tofu', 'oil']"
36862,french,"['eau de vie', 'leaves', 'cane sugar', 'pinenuts', 'golden raisins', 'baking apples', 'large eggs', 'ground cinnamon', 'parmesan cheese', 'salt']"
48576,irish,"['pepper', 'potatoes', 'butter', 'salt', 'onions', 'tomato paste', 'olive oil', 'beef stock', 'diced tomatoes', 'carrots', 'sugar', 'baking soda', 'baking powder', 'rosemary leaves', 'lean steak', 'water', 'flour', 'buttermilk', 'Guinness Lager', 'dried rosemary']"
25118,chinese,"['water', 'wonton wrappers', 'garlic cloves', 'water chestnuts, drained and chopped', 'peeled fresh ginger', 'chinese cabbage', 'low sodium soy sauce', 'cooking spray', 'dipping sauces', 'lean ground pork', 'green onions', 'dark sesame oil']"
22678,greek,"['pepper', 'dried mint flakes', 'salt', 'dried oregano', 'tomatoes', 'ground black pepper', 'garlic', 'dried dillweed', 'olive oil', 'red wine', 'lamb', 'plain yogurt', 'pita bread rounds', 'purple onion', 'cucumber']"
428,korean,"['sesame oil', 'water', 'soy sauce', 'kale']"
31009,spanish,"['saffron threads', 'ground black pepper', 'dry bread crumbs', 'fresh lemon juice', 'water', 'crushed red pepper', 'chopped onion', 'ground cumin', 'fresh spinach', 'dry sherry', 'chickpeas', 'fresh parsley', 'olive oil', 'salt', 'garlic cloves']"
18643,french,"['2% reduced-fat milk', 'corn starch', 'eggs', 'maple syrup', 'sugar', 'margarine', 'vanilla extract']"
46893,french,"['heavy cream', 'pears', 'unsalted butter', 'sour cream', 'sugar', 'confectioners sugar', 'light pancake syrup', 'puff pastry']"
1110,filipino,"['fish sauce', 'apple cider vinegar', 'fat', 'mushroom powder', 'salt', 'water', 'garlic', 'bone in chicken thighs', 'black peppercorns', 'fresh bay leaves', 'coconut aminos']"
27140,japanese,"['wasabi', 'soy sauce', 'seaweed', 'jumbo shrimp', 'salt', 'red bell pepper', 'avocado', 'sticky rice', 'cucumber', 'sugar', 'rice vinegar', 'white sesame seeds']"
28342,jamaican,"['black pepper', 'apple cider vinegar', 'garlic', 'brown sugar', 'jamaican jerk season', 'red pepper flakes', 'salt', 'olive oil', 'butter', 'purple onion', 'pineapple preserves', 'shallots', 'chicken drumsticks', 'red bell pepper']"
242,korean,"['romaine lettuce', 'sesame seeds', 'gingerroot', 'soy sauce', 'sesame oil', 'cooked white rice', 'sugar', 'mirin', 'garlic cloves', 'rib eye steaks', 'black pepper', 'hot bean paste', 'onions']"
20981,indian,"['garbanzo beans', 'sea salt', 'medjool date', 'cumin', 'tumeric', 'shallots', 'cayenne pepper', 'coriander', 'diced bell pepper', 'potatoes', 'garlic', 'chopped cilantro', 'cream', 'lemon', 'smoked paprika', 'frozen peas']"
23147,indian,"['tumeric', 'fresh coriander', 'paprika', 'garlic puree', 'ghee', 'green cardamom pods', 'white onion', 'chicken breasts', 'salt', 'cinnamon sticks', 'sugar', 'fenugreek', 'ginger', 'garlic cloves', 'ground cumin', 'tomato purée', 'pepper', 'lemon', 'green chilies', 'coconut milk']"
3245,korean,"['white vinegar', 'reduced sodium soy sauce', 'kosher salt', 'toasted sesame oil', 'fresh spinach', 'garlic cloves', 'ground black pepper']"
33603,vietnamese,"['lime', 'cilantro', 'glass noodles', 'Boston lettuce', 'mirin', 'persian cucumber', 'avocado', 'thai basil', 'peanut butter', 'rice paper', 'soy sauce', 'Sriracha', 'carrots']"
19691,korean,"['Korean chile flakes', 'fresh lemon juice', 'pepper', 'kosher salt', 'celery', 'peanut oil']"
6862,indian,"['tomatoes', 'red chile powder', 'boneless chicken breast', 'butter', 'green chilies', 'cashew nuts', 'garlic paste', 'mace', 'yoghurt', 'salt', 'lemon juice', 'ground cumin', 'black peppercorns', 'honey', 'kashmiri chile', 'kasuri methi', 'mustard oil', 'ginger paste', 'clove', 'cream', 'garam masala', 'cinnamon', 'tomato ketchup', 'coriander']"
40617,korean,"['vegetable oil', 'salt', 'green bell pepper', 'red bell pepper', 'large eggs']"
26676,thai,"['kaffir lime leaves', 'corn', 'jalapeno chilies', 'soba noodles', 'galangal', 'sugar', 'green curry paste', 'button mushrooms', 'shrimp', 'bamboo shoots', 'fish sauce', 'lime', 'basil', 'garlic chili sauce', 'onions', 'chicken broth', 'lemongrass', 'shiitake', 'ginger', 'coconut milk']"
14778,chinese,"['eggs', 'honey', 'sesame oil', 'corn starch', 'minced garlic', 'boneless skinless chicken breasts', 'rice vinegar', 'ketchup', 'flour', 'salt', 'canola oil', 'cold water', 'water', 'baking powder', 'oil']"
636,french,"['golden brown sugar', 'eggs', 'whole milk ricotta cheese', 'rhubarb', 'frozen pastry puff sheets', 'powdered sugar']"
35408,greek,"['garbanzo beans', 'liquid', 'black pepper', 'garlic', 'tahini', 'lemon juice', 'olive oil', 'salt']"
18389,indian,"['clove', 'cilantro leaves', 'ghee', 'cinnamon', 'jeera', 'water', 'cardamom', 'basmati rice', 'salt', 'bay leaf']"
35041,japanese,"['mirin', 'sugar', 'salmon steaks', 'soy sauce']"
30649,british,"['milk', 'buttermilk', 'sugar', 'unsalted butter', 'jam', 'eggs', 'baking soda', 'salt', 'dried currants', 'butter', 'all-purpose flour']"
14351,japanese,"['plain flour', 'karashi', 'spring onions', 'tomato ketchup', 'panko breadcrumbs', 'sake', 'fresh ginger root', 'salt', 'garlic cloves', 'dark soy sauce', 'vegetables', 'worcestershire sauce', 'free range egg', 'sugar', 'mirin', 'chinese cabbage', 'steak']"
48911,filipino,"['water', 'jicama', 'carrots', 'bamboo shoots', 'egg roll wrappers', 'garlic', 'beansprouts', 'ground black pepper', 'vegetable oil', 'green beans', 'soy sauce', 'water chestnuts', 'diced celery', 'onions']"
20668,indian,"['red chili peppers', 'vegetable oil', 'cumin seed', 'ground pepper', 'fenugreek seeds', 'ground turmeric', 'cauliflower flowerets', 'salt', 'boiling potatoes', 'fennel seeds', 'garam masala', 'ground coriander']"
40466,indian,"['chicken thighs', 'vegetable oil', 'yoghurt', 'spices']"
32480,greek,"['dry red wine', 'cinnamon sticks', 'Turkish bay leaves', 'fresh oregano', 'red wine vinegar', 'garlic cloves', 'octopuses', 'extra-virgin olive oil', 'onions']"
3605,chinese,"['honey', 'ginger', 'whiskey', 'chicken wings', 'green onions', 'green chilies', 'hoisin sauce', 'garlic', 'soy sauce', 'sesame oil', 'chinese five-spice powder']"
41363,cajun_creole,"['chicken stock', 'kosher salt', 'unsalted butter', 'scallions', 'canola oil', 'andouille sausage', 'dried thyme', 'yellow onion', 'celery', 'green bell pepper', 'dried basil', 'flour', 'ground white pepper', 'boneless chicken skinless thigh', 'ground black pepper', 'cayenne pepper', 'cooked white rice']"
33048,chinese,"['black pepper', 'whole grain thin spaghetti', 'scallions', 'red bell pepper', 'baby bok choy', 'shiitake', 'grapeseed oil', 'oyster sauce', 'chicken broth', 'fresh ginger', 'sesame oil', 'organic sugar', 'onions', 'soy sauce', 'boneless chicken breast', 'rice vinegar', 'corn starch']"
6164,thai,"['water', 'green onions', 'galangal', 'fish sauce', 'peanuts', 'thai chile', 'chopped cilantro fresh', 'kaffir lime leaves', 'lemongrass', 'lime wedges', 'medium shrimp', 'straw mushrooms', 'chili paste', 'fresh lime juice']"
